Nombre empleado,Sueldo Base,Descuento Salud,Descuento AFP,Sueldo Liquido
Juan Perez,1434867,100440.69,172184.04,1162242.27
Maria Garcia,508001,35560.07000000001,60960.119999999995,411480.81
Carlos Lopez,361917,25334.190000000002,43430.04,293152.77
Ana Martinez,1450233,101516.31000000001,174027.96,1174688.73
Pedro Rodriguez,1908930,133625.1,229071.6,1546233.2999999998
Laura Hernandez,2078281,145479.67,249393.72,1683407.61
Miguel Sanchez,2026389,141847.23,243166.68,1641375.09
Isabel Gomez,815905,57113.350000000006,97908.59999999999,660883.05
Francisco Diaz,2133558,149349.06000000003,256026.96,1728181.98
Elena Fernandez,2381753,166722.71000000002,285810.36,1929219.9300000002
